jornada,posicion_equipo,ptos,j,g3,g2,p1,p0,sf,sc,pf,pc,sanciones
1,"1. 		  		
		  CV Bruxas ",3,1,1,0,0,0,3,0,75,39,0
1,"2. 		  		
		  CV Oviedo ",3,1,1,0,0,0,3,0,75,42,0
1,"3. 		  		
		  CD Voleibol Astillero ",3,1,1,0,0,0,3,0,75,61,0
1,"4. 		  		
		  Universidad de Salamanca ",0,1,0,0,0,1,0,3,61,75,0
1,"5. 		  		
		  D&comma;Elhuyar ",0,1,0,0,0,1,0,3,42,75,0
1,"6. 		  		
		  Calasancias Coruña ",0,1,0,0,0,1,0,3,39,75,0
2,"1. 		  		
		  CV Oviedo ",6,2,2,0,0,0,6,0,150,91,0
2,"2. 		  		
		  CV Bruxas ",3,1,1,0,0,0,3,0,75,39,0
2,"3. 		  		
		  Aceites Abril CVO ",3,1,1,0,0,0,3,0,75,53,0
2,"4. 		  		
		  Universidad de Valladolid ",3,1,1,0,0,0,3,0,77,63,0
2,"5. 		  		
		  CD Voleibol Astillero ",3,2,1,0,0,1,3,3,138,138,0
2,"6. 		  		
		  Universidad de Salamanca ",0,1,0,0,0,1,0,3,61,75,0
2,"7. 		  		
		  D&comma;Elhuyar ",0,2,0,0,0,2,0,6,95,150,0
2,"8. 		  		
		  Calasancias Coruña ",0,2,0,0,0,2,0,6,88,150,0
3,"1. 		  		
		  CV Bruxas ",6,2,2,0,0,0,6,0,150,90,0
